Designation	Conditions	Count	Percent
Dark-Shared	ATAC10vsATHC10	0	0
Light-Restricted	ATAC10vsATHC10	0	0
Dark-Restricted	ATAC10vsATHC10	0	0
Light-Shared	ATAC10vsATHC10	2	0.0342877
Dark-Shared	ATAC10vsHTAC10	0	0
Light-Restricted	ATAC10vsHTAC10	0	0
Dark-Restricted	ATAC10vsHTAC10	0	0
Light-Shared	ATAC10vsHTAC10	0	0
Dark-Shared	ATAC10vsHTHC10	0	0
Light-Restricted	ATAC10vsHTHC10	0	0
Dark-Restricted	ATAC10vsHTHC10	0	0
Light-Shared	ATAC10vsHTHC10	1	0.0171438
Dark-Shared	ATAC11vsATHC11	0	0
Light-Restricted	ATAC11vsATHC11	0	0
Dark-Restricted	ATAC11vsATHC11	0	0
Light-Shared	ATAC11vsATHC11	0	0
Dark-Shared	ATAC11vsHTAC11	0	0
Light-Restricted	ATAC11vsHTAC11	0	0
Dark-Restricted	ATAC11vsHTAC11	0	0
Light-Shared	ATAC11vsHTAC11	1	0.0171438
Dark-Shared	ATAC11vsHTHC11	0	0
Light-Restricted	ATAC11vsHTHC11	0	0
Dark-Restricted	ATAC11vsHTHC11	0	0
Light-Shared	ATAC11vsHTHC11	0	0
Dark-Shared	ATAC12vsATHC12	0	0
Light-Restricted	ATAC12vsATHC12	1	0.8
Dark-Restricted	ATAC12vsATHC12	0	0
Light-Shared	ATAC12vsATHC12	2	0.0342877
Dark-Shared	ATAC12vsHTAC12	0	0
Light-Restricted	ATAC12vsHTAC12	0	0
Dark-Restricted	ATAC12vsHTAC12	0	0
Light-Shared	ATAC12vsHTAC12	0	0
Dark-Shared	ATAC12vsHTHC12	0	0
Light-Restricted	ATAC12vsHTHC12	0	0
Dark-Restricted	ATAC12vsHTHC12	0	0
Light-Shared	ATAC12vsHTHC12	2	0.0342877
Dark-Shared	ATAC1vsATHC1	0	0
Light-Restricted	ATAC1vsATHC1	0	0
Dark-Restricted	ATAC1vsATHC1	0	0
Light-Shared	ATAC1vsATHC1	16	0.274301
Dark-Shared	ATAC1vsHTAC1	0	0
Light-Restricted	ATAC1vsHTAC1	1	0.8
Dark-Restricted	ATAC1vsHTAC1	0	0
Light-Shared	ATAC1vsHTAC1	2	0.0342877
Dark-Shared	ATAC1vsHTHC1	0	0
Light-Restricted	ATAC1vsHTHC1	0	0
Dark-Restricted	ATAC1vsHTHC1	0	0
Light-Shared	ATAC1vsHTHC1	2	0.0342877
Dark-Shared	ATAC3vsATHC3	0	0
Light-Restricted	ATAC3vsATHC3	0	0
Dark-Restricted	ATAC3vsATHC3	0	0
Light-Shared	ATAC3vsATHC3	2	0.0342877
Dark-Shared	ATAC3vsHTAC3	0	0
Light-Restricted	ATAC3vsHTAC3	0	0
Dark-Restricted	ATAC3vsHTAC3	1	0.558659
Light-Shared	ATAC3vsHTAC3	6	0.102863
Dark-Shared	ATAC3vsHTHC3	0	0
Light-Restricted	ATAC3vsHTHC3	5	4
Dark-Restricted	ATAC3vsHTHC3	7	3.91061
Light-Shared	ATAC3vsHTHC3	163	2.79445
Dark-Shared	ATAC4vsATHC4	0	0
Light-Restricted	ATAC4vsATHC4	0	0
Dark-Restricted	ATAC4vsATHC4	0	0
Light-Shared	ATAC4vsATHC4	17	0.291445
Dark-Shared	ATAC4vsHTAC4	0	0
Light-Restricted	ATAC4vsHTAC4	1	0.8
Dark-Restricted	ATAC4vsHTAC4	1	0.558659
Light-Shared	ATAC4vsHTAC4	26	0.44574
Dark-Shared	ATAC4vsHTHC4	0	0
Light-Restricted	ATAC4vsHTHC4	7	5.6
Dark-Restricted	ATAC4vsHTHC4	12	6.70391
Light-Shared	ATAC4vsHTHC4	136	2.33156
Dark-Shared	ATAC5vsATHC5	0	0
Light-Restricted	ATAC5vsATHC5	1	0.8
Dark-Restricted	ATAC5vsATHC5	2	1.11732
Light-Shared	ATAC5vsATHC5	50	0.857192
Dark-Shared	ATAC5vsHTAC5	0	0
Light-Restricted	ATAC5vsHTAC5	0	0
Dark-Restricted	ATAC5vsHTAC5	0	0
Light-Shared	ATAC5vsHTAC5	12	0.205726
Dark-Shared	ATAC5vsHTHC5	0	0
Light-Restricted	ATAC5vsHTHC5	0	0
Dark-Restricted	ATAC5vsHTHC5	0	0
Light-Shared	ATAC5vsHTHC5	2	0.0342877
Dark-Shared	ATAC6vsATHC6	0	0
