new_name	old_name	calicoblast	cnidocyte	epidermis_1	gastrodermis	gland_1	gland_2	neuron_1	neuron_2	precursors	unknown_1	unknown_2	unknown_3
Stylophora_pistillata_GAJOv1___8154	Spis_XP_022788068_1	1.13330092546412	0.780116009329908	1.02467000476954	1.01990130822457	0.780116009329908	1.67440419921948	0.980098691775433	1.07718368472429	0.894935640666805	0.956450868680426	0.780116009329908	1.96524689747753
Stylophora_pistillata_GAJOv1___8155	Spis_XP_022788033_1	0.91395941933252	1.16500371500998	1.08604058066748	0.907249712038785	0.799750064903396	1.1475960354414	1.21136686063604	0.799750064903396	0.799750064903396	1.16346916209032	0.799750064903396	1.73430005134197
Stylophora_pistillata_GAJOv1___8156	Spis_XP_022788035_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8157	Spis_XP_022788083_1	1.02550737638117	0.928765564701957	0.982411592576222	0.850499973007562	0.757239832793802	1.01758840742378	0.757239832793802	1.19181293478541	1.0934604604786	1.2769300464	1.96462376289253	0.757239832793802
Stylophora_pistillata_GAJOv1___8158	Spis_XP_022788085_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8161	Spis8161_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8162	Spis8162_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8163	Spis8163_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8164	Spis8164_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8166	Spis8166_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8168	Spis_XP_022788133_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8169	Spis_XP_022788134_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8170	Spis8170_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8172	Spis_XP_022788112_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8173	Spis_XP_022788109_1	1.20132613139272	1	1.16881715289308	1.14292241054199	1	1	1.25634992751566	1	1	1	1	1
Stylophora_pistillata_GAJOv1___8174	Spis_XP_022788135_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8175	Spis_XP_022788107_1	1.09467001114873	1.05192089765301	0.791917318234411	0.924631141585451	1.90128085099964	1.09952362293187	1.17936742106419	0.861871033608504	0.706076771453534	1.01951025006104	0.980489749938957	0.888892097916751
Stylophora_pistillata_GAJOv1___8176	Spis_XP_022788114_1	1.15781494275697	1	1.11148134339558	1.13633070079822	1	1	1.25634992751566	1.38079935784109	1	1	1	1
Stylophora_pistillata_GAJOv1___8177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8178.t2	Spis_XP_022788119_1	1.05630049848904	1	1.03178817584517	1.08669448921389	1	1	1	1.49353109758284	1.2951839517599	1	1	1
Stylophora_pistillata_GAJOv1___8179.t1	Spis_XP_022788098_1	0.862101002703931	0.591985100186197	1.31234169501659	1.09285431305956	1.15254348970389	0.856463801375538	0.827949744957077	1.00894760870038	1.12007410906142	0.991052391299619	1.0543473031721	0.641475145439951
Stylophora_pistillata_GAJOv1___8180	Spis8180_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8181	Spis_XP_022788125_1	1.33119042127298	0.913607861697841	1.05008024187389	1.39858058243342	0.573479614763799	0.94991975812611	1.10579814533694	1.77714767762857	0.792629292512275	0.911761713601229	1.33503392173643	0.573479614763799
Stylophora_pistillata_GAJOv1___8182.t1	Spis_XP_022788140_1	1.00140207046559	1.20563986172115	0.998597929534411	1.5962652511976	0.982980594884818	1.4105214655305	1.38327271665148	1.16926324456224	0.982980594884818	0.982980594884818	0.982980594884818	0.982980594884818
Stylophora_pistillata_GAJOv1___8183	Spis_XP_022788136_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8184	Spis8184_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8185	Spis_XP_022788100_1	1.04473923725891	1.29930054979247	0.893879872345811	0.932739907391154	2.01445049975773	1.01922902605225	0.710292171254486	0.980770973947748	0.710292171254486	0.870844279681947	1.33403390676806	1.12118973284528
Stylophora_pistillata_GAJOv1___8186	Spis_XP_022788101_1	1.05129855596808	1.00244583669699	0.997554163303009	0.914914457935239	0.592936625165292	1.19358208466612	0.744935886047792	0.818726511268698	1.13918600259159	1.79740991347579	1.00418602515623	0.592936625165292
Stylophora_pistillata_GAJOv1___8187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8189	Spis_XP_022788122_1	1.05476660199532	0.945233398004679	1.05944186456056	1.11858738008462	0.945233398004679	1.68934030101283	1.43172781617413	1.51887874002305	0.945233398004679	0.945233398004679	0.945233398004679	0.945233398004679
Stylophora_pistillata_GAJOv1___8190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stylophora_pistillata_GAJOv1___8191	Spis_XP_022788156_1	1.00398546483459	1.15485666065461	1.19235391425013	1.13900479592576	0.79278432970897	1.13760060006245	0.996014535165412	0.79278432970897	0.909468519468185	1.6642983759832	0.79278432970897	0.79278432970897
Stylophora_pistillata_GAJOv1___8192	Spis_XP_022788094_1	1.08773462816049	2.10351137043418	1.0334095021753	1.03236391143108	0.710142886905247	0.86363985328592	0.892187964489165	0.980564842214182	0.814663680602352	1.53226645885981	1.01943515778582	0.710142886905247
