new_name	old_name	cnidocyte	digestive_filaments	epidermis	gastrodermis	gland	muscle	neuron	precursors
Nematostella_vectensis_RRUSv1___NVEC200_012438_1.1	Nvec_v1g214064	0.937709861507415	1.06349889138626	1.00626712781226	0.964077409468442	0.975153436645514	0.993732872187743	1.01110284382996	1.01160413978439
Nematostella_vectensis_RRUSv1___NVEC200_012440_1.1	Nvec_v1g171834	1.00264082501664	1.07111466885688	1.04116370943507	0.999150948866405	0.980711701279114	1.00084905113359	0.993916005180945	0.98155116837267
Nematostella_vectensis_RRUSv1___NVEC200_012444_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012443_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012436_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012470_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012468_1.1	Nvec_v1g198568	0.968344215269736	1.01156617680326	1.05333194883396	0.971064577266612	1.05258678673596	0.968344215269736	1.02622519234241	0.988433823196736
Nematostella_vectensis_RRUSv1___NVEC200_012469_1.1	Nvec_v1g198567	0.916544533553472	0.918171284489178	1.00555567133659	1.26964625507285	1.05981159332649	0.994444328663406	1.04647888671945	0.945247746352046
Nematostella_vectensis_RRUSv1___NVEC200_012503_1.1	Nvec_NVE750	0.926242131188168	1.0712662575803	1.0211185004238	1.10835285040195	0.963227789821922	1.01825674529949	0.981743254700511	0.962653661528179
Nematostella_vectensis_RRUSv1___NVEC200_012505_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012504_1.1	Nvec_v1g66969	0.365917962668865	2.23804369169084	2.45762099240808	0.427310572766191	0.925449941528906	0.712961819444416	1.1974514880504	1.07455005847109
Nematostella_vectensis_RRUSv1___NVEC200_012507_1.1	Nvec_v1g238961	1	1	1	1	1.00362531772186	1	1.01483708332099	1.02074634991381
Nematostella_vectensis_RRUSv1___NVEC200_012495_1.1	Nvec_v1g159822	0.813122156498316	0.978757021808773	1.22748262727677	1.55319310728417	0.972149984840956	1.21083745101412	1.02124297819123	0.825896370405707
Nematostella_vectensis_RRUSv1___NVEC200_012496_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012478_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012480_1.1	Nvec_v1g198553	0.911114977031525	1.08888502296848	1.16405054533292	1.2110137814626	0.905640175218828	0.662569732573032	0.679153863196057	1.86347955702119
Nematostella_vectensis_RRUSv1___NVEC200_012481_1.1	Nvec_v1g198552	0.979746512320938	0.992674695948016	0.979101333033458	1.14561840378959	1.00732530405198	1.13047572608081	1.05659533358283	0.9547207076137
Nematostella_vectensis_RRUSv1___NVEC200_012483_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012479_1.1	Nvec_v1g231938	0.940392165580718	1.00384111991622	1.02942018817069	0.996158880083785	0.953561852087827	1.03179652278136	0.988599081604336	1.05723000247572
Nematostella_vectensis_RRUSv1___NVEC200_012482_1.1	Nvec_v1g198549	0.998190620926082	1.02045772258471	1.02129532634033	1.01666690441368	1.00180937907392	0.998190620926082	0.998190620926082	0.998190620926082
Nematostella_vectensis_RRUSv1___NVEC200_012464_1.1	Nvec_v1g30680	0.875217867673387	0.972687503465993	1.03379273254392	1.15240880884607	0.981876820900327	0.857639506305623	1.01812317909967	1.01825408044636
Nematostella_vectensis_RRUSv1___NVEC200_012465_1.1	Nvec_v1g30994	0.794576235485833	1.15621642431369	1.18862307913901	1.05431046898963	0.921846412561997	0.788736691270162	1.0784024671799	0.945689531010365
Nematostella_vectensis_RRUSv1___NVEC200_012466_1.1	Nvec_v1g159852	0.784603550735107	1.02823027593234	2.24988344189728	1.32935117634904	1.07404600789693	0.844807484285708	0.97176972406766	0.950554871831902
Nematostella_vectensis_RRUSv1___NVEC200_012467_1.1	Nvec_NVE402	1.0144090011419	0.917378414945283	1.00244847933033	0.997551520669671	1.09949007907352	0.977845552295167	1.36042329457801	0.958253399246549
Nematostella_vectensis_RRUSv1___NVEC200_012473_1.1	Nvec_NVE388	0.975268502571097	1.08424243253663	1.04064301980421	1.00704392328603	0.992956076713971	1.03353543563704	0.986713721371024	0.975268502571097
Nematostella_vectensis_RRUSv1___NVEC200_012475_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012477_1.1	Nvec_v1g198556	0.996387305356761	1.13004761721798	0.996387305356761	1.03727012032697	1.00361269464324	0.996387305356761	1.01198015291371	0.996387305356761
Nematostella_vectensis_RRUSv1___NVEC200_012471_1.1	Nvec_v1g85087	0.994449801878631	1.01663345534984	1.00896948519892	1.01122067456028	1.00166114118997	0.994449801878631	0.998338858810034	0.994449801878631
Nematostella_vectensis_RRUSv1___NVEC200_012472_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012474_1.1	Nvec_NVE386	0.973947483345648	1.14542362157417	1.14567403755476	1.10811839345642	1.02229446566352	0.969416243172115	0.977705534336484	0.923459858669011
Nematostella_vectensis_RRUSv1___NVEC200_012476_1.1	Nvec_NVE383	1.02475599215017	1.01998985310374	1.0388317645738	0.958020920982951	0.961441524993712	0.980010146896259	0.951338339685133	1.04875141689802
Nematostella_vectensis_RRUSv1___NVEC200_012486_1.1	Nvec_v1g238978	0.851871186477351	0.993625601814142	1.23620223268821	0.979981337642709	1.14182343190056	1.12304873782191	1.00637439818586	0.872407575646221
Nematostella_vectensis_RRUSv1___NVEC200_012487_1.1	Nvec_v1g85009	0.590411963381988	1.17712513875208	1.0548899069441	0.935027598898543	0.945110093055901	0.849966856726276	1.29585773390908	1.08590011138444
Nematostella_vectensis_RRUSv1___NVEC200_012488_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012489_1.1	Nvec_v1g85083	0.855324527157711	0.994292872795524	1.02064252541924	1.00570712720448	0.991288754361709	0.868270309361048	1.11186785379012	1.45592124064474
Nematostella_vectensis_RRUSv1___NVEC200_012484_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012485_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012498_1.1	Nvec_v1g84932	1.23693569275273	1.06323804313628	1.0110253408206	0.916108513493966	0.988974659179395	0.836313038613063	1.12399471645662	0.972344124044381
Nematostella_vectensis_RRUSv1___NVEC200_012500_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012501_1.1	Nvec_v1g238966	0.886409248817126	0.996518641710718	1.10584068826059	1.03980548786448	0.99443204645589	0.998664090213258	1.08601239883315	1.00133590978674
Nematostella_vectensis_RRUSv1___NVEC200_012502_1.1	Nvec_v1g84710	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012497_1.1	Nvec_v1g238968	0.973884058538696	0.913980456338356	1.07762162801156	0.971906762416655	1.0261159414613	1.08572501560936	1.22208395648562	0.96921647491963
Nematostella_vectensis_RRUSv1___NVEC200_012499_1.1	Nvec_v1g238967	2.54745848880568	0.997136099645789	1.00286390035421	0.972883590472023	0.978651917225509	0.990372035981212	1.01427043837549	1.00306687141926
Nematostella_vectensis_RRUSv1___NVEC200_012569_1.1	Nvec_v1g198008	0.983037051138436	1.0493632874159	0.991433113190888	1.16626368955567	0.986306347450076	1.02084466337647	1.00856688680911	0.963293189454317
Nematostella_vectensis_RRUSv1___NVEC200_012571_1.1	Nvec_v1g198014	0.977325107873847	1.02267489212615	0.966218052643703	1.02280940595361	1.24095547745029	0.966814554153703	1.25388735634792	0.975698759681332
Nematostella_vectensis_RRUSv1___NVEC200_012574_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012576_1.1	Nvec_v1g236403	0.947545749462622	1.53450174952962	1.0447814747466	0.955218525253397	0.848593898753631	1.17114985189084	0.777006800197586	1.24390777776853
Nematostella_vectensis_RRUSv1___NVEC200_012577_1.1	Nvec_v1g178746	0.951926221852797	1.0480737781472	1.17557484234048	1.25160366129945	0.853620371692271	0.662005414796715	0.731762217202728	1.85387907426538
Nematostella_vectensis_RRUSv1___NVEC200_012568_1.1	Nvec_v1g238741	1.03359623035722	1.81776884527797	1.10254938589672	0.96640376964278	0.944228649551066	0.899552067506232	1.05775155140692	0.893666616487031
Nematostella_vectensis_RRUSv1___NVEC200_012572_1.1	Nvec_v1g83876	0.994710113839936	1.03910891500944	1.03831271422121	1.00589130886631	0.99831625404375	0.994710113839936	1.00168374595625	0.994710113839936
Nematostella_vectensis_RRUSv1___NVEC200_012573_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012575_1.1	Nvec_v1g198020	1.00666166237137	0.98644331088447	1.00084609366989	0.999153906330111	0.98644331088447	1.04537787733169	0.996089626857732	1.01227559445188
Nematostella_vectensis_RRUSv1___NVEC200_012570_1.1	Nvec_v1g159483	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012520_1.1	Nvec_NVE317	0.984219106188491	0.987614573645596	0.986857829582824	1.01243346500691	1.0123854263544	1.03021111671158	1.02158648151971	0.95778548464532
Nematostella_vectensis_RRUSv1___NVEC200_012522_1.1	Nvec_v1g84965	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012523_1.1	Nvec_v1g198469	1.50481674111289	1.03377022638869	0.989599535450127	1.00072328421866	0.996775702632209	1.01913670874284	0.999276715781337	0.989599535450127
Nematostella_vectensis_RRUSv1___NVEC200_012526_1.1	Nvec_v1g198466	0.868396198854223	1.0241805120682	1.03941283834813	1.00691584111784	0.969247817378369	0.998867717583678	1.00113228241632	0.992270773448971
Nematostella_vectensis_RRUSv1___NVEC200_012524_1.1	Nvec_v1g238950	0.95059302901515	0.986672010338078	1.04067360202112	1.01332798966192	0.984429439559383	0.926594707510497	1.02579845627296	1.04502283666478
Nematostella_vectensis_RRUSv1___NVEC200_012525_1.1	Nvec_NVE310	0.934803327416687	1.0385425751914	1.07688584142733	0.993551904083633	0.981757443826676	0.897948461802292	1.00644809591637	1.02092360752126
Nematostella_vectensis_RRUSv1___NVEC200_012527_1.1	Nvec_v1g223966	0.998190620926082	0.998190620926082	0.998190620926082	1.00379961958274	1.00180937907392	0.998190620926082	1.00714130973013	1.03199110176961
Nematostella_vectensis_RRUSv1___NVEC200_012521_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012519_1.1	Nvec_NVE318	0.998339905415184	1.06569863657909	1.57153812979197	1.03154133011685	1.00166009458482	0.978288692713255	0.998044881633591	0.991088260821467
Nematostella_vectensis_RRUSv1___NVEC200_012560_1.1	Nvec_v1g198418	0.969739474053687	1.06908275644434	1.02054699409635	0.986093620057838	0.994368157579892	0.969739474053687	1.00563184242011	1.00786092965636
Nematostella_vectensis_RRUSv1___NVEC200_012561_1.1	Nvec_v1g84870	0.998190620926082	0.998190620926082	0.998190620926082	1.0419601098034	1.00180937907392	0.998190620926082	1.01734312679485	1.01125057851599
Nematostella_vectensis_RRUSv1___NVEC200_012563_1.1	Nvec_NVE264	0.99175250111729	1.00202551919391	0.966561810580518	0.997974480806085	1.10435567247623	0.952652399438764	1.14408528708664	1.08555745492097
Nematostella_vectensis_RRUSv1___NVEC200_012565_1.1	Nvec_v1g151477	0.981377062790982	1.00326909660145	0.981377062790982	1.0023028639757	0.9976971360243	1.01066881499049	0.992893968319317	1.05334004250765
Nematostella_vectensis_RRUSv1___NVEC200_012566_1.1	Nvec_v1g34627	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012567_1.1	Nvec_v1g155982	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012559_1.1	Nvec_v1g198419	0.992426685711506	0.974565709955291	0.995087413893148	0.98324564979017	1.00491258610685	1.06739717631599	1.02197440832979	1.01064369761216
Nematostella_vectensis_RRUSv1___NVEC200_012562_1.1	Nvec_NVE265	0.984528448854188	1.01547155114581	0.909401244502136	0.906519888422839	1.19499423289658	0.885974500693896	1.41090932442069	1.08572611023779
Nematostella_vectensis_RRUSv1___NVEC200_012564_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012528_1.1	Nvec_NVE307	0.985678637150607	1.01092944459702	0.977018898785391	0.986491847268962	1.00119418786309	1.01993995547617	0.998805812136914	1.02609088495749
Nematostella_vectensis_RRUSv1___NVEC200_012529_1.1	Nvec_v1g159793	0.886316125152559	1.13021249951474	1.00331016153687	0.989527304517779	0.965488453161844	1.11123160307626	1.1531901290825	0.996689838463127
Nematostella_vectensis_RRUSv1___NVEC200_012530_1.1	Nvec_NVE305	0.946491113886878	0.991838466167019	1.68679343426351	0.936937181699207	1.00816153383298	0.900627806244853	1.07511778470812	1.01497028094299
Nematostella_vectensis_RRUSv1___NVEC200_012531_1.1	Nvec_v1g198459	1.90309913398442	1.02593940041889	1.0002318070105	0.9997681929895	0.997181633022609	0.929496873908321	1.60474225048737	0.987814155678214
Nematostella_vectensis_RRUSv1___NVEC200_012532_1.1	Nvec_v1g198458	1.20681828443023	0.957999708341762	0.999993127195169	1.00000687280483	1.00546426288019	0.957999708341762	1.04236574433999	0.983087130852831
Nematostella_vectensis_RRUSv1___NVEC200_012492_1.1	Nvec_v1g238971	0.94860845401008	1.03336647312375	1.03186405803485	0.996412400606635	0.98303917469545	1.00528259569504	1.00358759939336	0.968288616928172
Nematostella_vectensis_RRUSv1___NVEC200_012490_1.1	Nvec_v1g179073	1.06628967421776	0.976463355199811	0.930036069409346	1.00095859378713	0.811462146561269	1.08050379415598	0.999041406212869	1.02079671597693
Nematostella_vectensis_RRUSv1___NVEC200_012491_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012493_1.1	Nvec_v1g84767	0.973076648641333	1.04858771749612	0.959503268980671	0.975785606836218	1.02421439316378	1.04974244157193	1.09132903698806	0.924199440040393
Nematostella_vectensis_RRUSv1___NVEC200_012494_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012601_1.1	Nvec_v1g83583	1.05987565218329	0.992208505449708	1.03611411631339	0.971001589921342	0.947681684863282	0.926871775092693	1.00779149455029	1.02242451126858
Nematostella_vectensis_RRUSv1___NVEC200_012603_1.1	Nvec_v1g83795	0.99126482201896	1.01471208852768	0.999731156982068	1.00026884301793	0.988972320521421	0.971355709218369	1.01873631714486	1.04790137865126
Nematostella_vectensis_RRUSv1___NVEC200_012605_1.1	Nvec_v1g238776	0.995802879745165	0.995802879745165	0.995802879745165	1.00419712025483	1.01086299777815	0.995802879745165	1.01756613193971	1.05570324149734
Nematostella_vectensis_RRUSv1___NVEC200_012600_1.1	Nvec_v1g231906	1.00365050325257	1.06497018285804	1.05963831200581	0.982160822473174	0.944571805679764	0.951827614232493	0.99634949674743	1.01858272249852
Nematostella_vectensis_RRUSv1___NVEC200_012602_1.1	Nvec_v1g178803	0.989826791619803	1.03575667829258	1.00639369656136	0.993606303438637	0.989356346048334	0.979181789682227	1.04469943974791	1.03828332119688
Nematostella_vectensis_RRUSv1___NVEC200_012604_1.1	Nvec_v1g238775	0.917851005042144	0.999935316132485	1.00006468386752	0.980527257911373	0.963406905323317	1.01367772022954	1.00361588148095	1.06699728316346
Nematostella_vectensis_RRUSv1___NVEC200_012606_1.1	Nvec_v1g238777	0.952292573055207	1.00845798474494	0.995032012166126	0.976570219178534	1.00320732552873	0.996792674471269	1.02055174355011	1.03022015828035
Nematostella_vectensis_RRUSv1___NVEC200_012608_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012607_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012515_1.1	Nvec_v1g198482	1.10463351994409	0.986596665459187	0.984003366228126	0.942480854069343	1.03029279861775	0.93694652318415	1.01340333454081	1.1021191905768
Nematostella_vectensis_RRUSv1___NVEC200_012516_1.1	Nvec_v1g84810	0.953032543197476	1.13730914528914	1.10043208532888	1.00451137459749	0.980469508847381	0.906852263129097	1.07482915707432	0.995488625402507
Nematostella_vectensis_RRUSv1___NVEC200_012518_1.1	Nvec_v1g179043	1.01150355323736	1.03790311115275	0.994537299706245	1.00103692421545	1.00121305234131	0.981210980527429	0.998963075784552	0.990227476999809
Nematostella_vectensis_RRUSv1___NVEC200_012514_1.1	Nvec_NVE18179	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012517_1.1	Nvec_v1g84908	1.00599230524683	1.2732791466833	1.02616450055914	0.965807558970671	0.998713632026998	1.001286367973	0.949378671668154	0.983859004786086
Nematostella_vectensis_RRUSv1___NVEC200_012648_1.1	Nvec_v1g84031	1.01207857179481	1.05983548408315	1.00905257886351	0.999375065938454	0.987916158666765	0.981768778392573	1.00062493406155	0.998117772029824
Nematostella_vectensis_RRUSv1___NVEC200_012645_1.1	Nvec_v1g238805	1.28096526190143	1.03977244963542	1.0172148718451	0.996415315840817	0.988635276201464	1.00358468415918	0.994679746238281	0.987248223414763
Nematostella_vectensis_RRUSv1___NVEC200_012647_1.1	Nvec_v1g238806	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012646_1.1	Nvec_v1g220526	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012626_1.1	Nvec_v1g238788	0.97155770756286	1.15172175317821	0.990267531995423	1.00125447872025	1.04681521217692	0.940967462747746	0.998745521279751	1.00996726415251
Nematostella_vectensis_RRUSv1___NVEC200_012628_1.1	Nvec_NVE24059	1.21637341866053	1.1123677148969	1.12881393447665	0.962520389589195	0.952584710560757	0.874845306196117	1.01007487484306	0.989925125156944
Nematostella_vectensis_RRUSv1___NVEC200_012627_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012629_1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nematostella_vectensis_RRUSv1___NVEC200_012764_1.1	Nvec_v1g245237	0.953736295485017	1.05934943909306	1.00620000679477	1.0266820682249	0.993799993205228	0.932689859008906	0.993616983858766	1.06706515715828
Nematostella_vectensis_RRUSv1___NVEC200_012765_1.1	Nvec_v1g15221	1.06233257207646	0.973908965114147	1.00257013951572	1.29254559190606	1.03088033944541	0.952657589919971	0.988408893903148	0.997429860484284
Nematostella_vectensis_RRUSv1___NVEC200_012762_1.1	Nvec_v1g212204	0.967299481858528	0.967299481858528	1.00382894797788	0.994499063016371	1.05291566071429	0.996171052022124	1.14754230940466	1.01803903659841
