"","gene","cell_type","FC","Species","Lifestage"
"75","Hvul_g21720_1","precursors_neuron",9.64839038671677,"Hvul","Adult"
"76","Hvul_g21784_1","cnidocyte_i_nb2",21.63241,"Hvul","Adult"
"77","Hvul_g21873_1","cnidocyte_i_nb3",18.8545149611546,"Hvul","Adult"
"78","Hvul_g21993_1","cnidocyte_i_nb3",19.8760540374247,"Hvul","Adult"
"79","Hvul_g21994_1","cnidocyte_i_nb3",15.5535961367704,"Hvul","Adult"
"80","Hvul_g22114_1","epidermis_ecEp_peduncle",20.06295,"Hvul","Adult"
"81","Hvul_g22533_1","precursors_nematocyte",53.3907297409659,"Hvul","Adult"
"82","Hvul_g22607_1","germline_i_male",11.4745231503369,"Hvul","Adult"
"83","Hvul_g22659_1","gland_i_zymogen",185.1033,"Hvul","Adult"
"84","Hvul_g23344_1","neuron_i_ec2",432.162721796086,"Hvul","Adult"
"85","Hvul_g23541_1","neuron_i_en2",43.0587137978412,"Hvul","Adult"
"86","Hvul_g24035_1","epidermis_ecEp_fmgl_db",144.2257,"Hvul","Adult"
"87","Hvul_g24045_1","epidermis_ecEp_basal_disk",183.951,"Hvul","Adult"
"88","Hvul_g24329_1","neuron_i_ec3",453.558,"Hvul","Adult"
"89","Hvul_g24376_1","germline_i_female_nurse_cell",147.6983,"Hvul","Adult"
"90","Hvul_g24535_1","neuron_i_ec2",80.24422,"Hvul","Adult"
"91","Hvul_g2461_1","cnidocyte_i_nb1",8.294591,"Hvul","Adult"
"92","Hvul_g24924_1","neuron_i_en3",43.12483,"Hvul","Adult"
"93","Hvul_g25079_1","gland_i_spumous_mucous",524.8186,"Hvul","Adult"
"94","Hvul_g25080_1","gland_i_spumous_mucous",864.6353,"Hvul","Adult"
"95","Hvul_g25376_1","gastrodermis_enEp_tentacle",63.69674,"Hvul","Adult"
"96","Hvul_g25710_1","neuron_i_ec1",121.9447,"Hvul","Adult"
"97","Hvul_g25743_1","cnidocyte_ecEp_head_hypostome",275.5158,"Hvul","Adult"
"98","Hvul_g25765_1","precursors_i",5.113113,"Hvul","Adult"
"99","Hvul_g25767_1","gastrodermis_enEp_foot",46.87136,"Hvul","Adult"
"100","Hvul_g25771_1","gland_i_granular_mucous",49.96336,"Hvul","Adult"
"101","Hvul_g25869_1","germline_i_female_nurse_cell",69.45662,"Hvul","Adult"
"102","Hvul_g26232_1","epidermis_ecEp_fmgl_db",22.08367,"Hvul","Adult"
"103","Hvul_g26402_1","germline_i_male",10.99274,"Hvul","Adult"
"104","Hvul_g26427_1","gastrodermis_enEp_tentacle",45.36889,"Hvul","Adult"
"105","Hvul_g26562_1","epidermis_ecEp_basal_disk",63.87377,"Hvul","Adult"
"106","Hvul_g2657_1","cnidocyte_ecEp_head_hypostome",53.57362,"Hvul","Adult"
"107","Hvul_g2661_1","cnidocyte_ecEp_head_hypostome",217.7512,"Hvul","Adult"
"108","Hvul_g26846_1","neuron_i_en1",109.9309,"Hvul","Adult"
"109","Hvul_g26848_1","gland_i_granular_mucous",108.4878,"Hvul","Adult"
"110","Hvul_g26890_1","neuron_i_en2",35.62352,"Hvul","Adult"
"111","Hvul_g27032_1","neuron_i_ec1",44.60442,"Hvul","Adult"
"112","Hvul_g27082_1","precursors_nematocyte",38.50473,"Hvul","Adult"
"113","Hvul_g27119_1","gastrodermis_enEp_head",40.9546,"Hvul","Adult"
"114","Hvul_g27455_1","gland_i_spumous_mucous",40.79835,"Hvul","Adult"
"115","Hvul_g27544_1","precursors_i",4.795948,"Hvul","Adult"
"116","Hvul_g27572_1","precursors_i",4.740093,"Hvul","Adult"
"117","Hvul_g27576_1","germline_i_female_nurse_cell",210.5739,"Hvul","Adult"
"118","Hvul_g27651_1","cnidocyte_i_nb1",4.950832,"Hvul","Adult"
"119","Hvul_g27787_1","precursors_nematocyte",46.57201,"Hvul","Adult"
"120","Hvul_g27998_1","cnidocyte_i_nb1",10.96381,"Hvul","Adult"
"121","Hvul_g28248_1","neuron_i_en1",55.18549,"Hvul","Adult"
"122","Hvul_g28429_1","gastrodermis_enEp_foot",38.43018,"Hvul","Adult"
"123","Hvul_g28430_1","gastrodermis_enEp_foot",58.21752,"Hvul","Adult"
"124","Hvul_g28515_1","gastrodermis_enEp_tentacle",48.03422,"Hvul","Adult"
"125","Hvul_g28684_1","precursors_neuron_gland",4.368092,"Hvul","Adult"
"126","Hvul_g28987_1","cnidocyte_i_nb4",74.57214,"Hvul","Adult"
"127","Hvul_g29685_1","neuron_i_ec5",44.98661,"Hvul","Adult"
"128","Hvul_g2978_1","gland_i_granular_mucous",73.83084,"Hvul","Adult"
"129","Hvul_g29791_1","cnidocyte_i_nb3",18.79147,"Hvul","Adult"
"130","Hvul_g30038_1","neuron_i_ec3",37.81117,"Hvul","Adult"
"131","Hvul_g30298_1","gland_i_granular_mucous",245.6221,"Hvul","Adult"
"132","Hvul_g30300_1","germline_i_female_nurse_cell",50.73146,"Hvul","Adult"
"133","Hvul_g30334_1","gland_i_spumous_mucous",37.19748,"Hvul","Adult"
"134","Hvul_g30462_1","neuron_i_ec2",540.663,"Hvul","Adult"
"135","Hvul_g30703_1","cnidocyte_ecEp_head_hypostome",196.0859,"Hvul","Adult"
"136","Hvul_g30764_1","gland_i_granular_mucous",123.1625,"Hvul","Adult"
"137","Hvul_g31502_1","epidermis_ecEp_fmgl_db",24.31396,"Hvul","Adult"
"138","Hvul_g31626_1","gastrodermis_enEp_foot",93.72051,"Hvul","Adult"
"139","Hvul_g31894_1","precursors_i",4.555179,"Hvul","Adult"
"140","Hvul_g31922_1","cnidocyte_i_nb3",15.4847,"Hvul","Adult"
"141","Hvul_g3219_1","gland_i_spumous_mucous",66.33576,"Hvul","Adult"
"142","Hvul_g3220_1","gland_i_spumous_mucous",43.73717,"Hvul","Adult"
"143","Hvul_g32304_1","cnidocyte_i_nb1",5.012846,"Hvul","Adult"
