new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC
Galaxea_fascicularis_REEFv1___m1.3022.m1	4	2	adult_epidermis_2	adult_epidermis	2.74362978556426
Galaxea_fascicularis_REEFv1___m1.6398.m1	1	1	adult_neuron_2	adult_neuron	2.39684105274906
Galaxea_fascicularis_REEFv1___m1.3823.m1	1	1	adult_gland_4	adult_gland	2.50618816446316
Galaxea_fascicularis_REEFv1___m1.20017.m1	1	1	adult_germline_sperm	adult_germline	3.81019127577403
Galaxea_fascicularis_REEFv1___m1.2009.m1	1	1	adult_neuron_10	adult_neuron	2.16968101587198
Galaxea_fascicularis_REEFv1___m1.15877.m1	2	1	adult_neuron_10	adult_neuron	2.12579081164239
Galaxea_fascicularis_REEFv1___m1.15877.m1	2	1	adult_neuron_13	adult_neuron	3.55693180357084
Galaxea_fascicularis_REEFv1___m1.1796.m1	1	1	adult_germline_sperm	adult_germline	2.45357183769905
Galaxea_fascicularis_REEFv1___m1.6037.m1	1	1	adult_gland_3_digestive	adult_gland	2.38702322713743
Galaxea_fascicularis_REEFv1___m1.18246.m1	1	1	adult_germline_sperm	adult_germline	5.76340652777012
Galaxea_fascicularis_REEFv1___m1.17586.m1	1	1	adult_gland_2	adult_gland	2.24719991185127
Galaxea_fascicularis_REEFv1___m1.3307.m1	1	1	adult_germline_sperm	adult_germline	4.29069940282371
Galaxea_fascicularis_REEFv1___m1.20492.m1	1	1	adult_neuron_12	adult_neuron	2.57841995918466
Galaxea_fascicularis_REEFv1___m1.17225.m1	1	1	adult_neuron_13	adult_neuron	4.84109815806361
Galaxea_fascicularis_REEFv1___m1.9048.m1	1	1	adult_germline_sperm	adult_germline	2.70480564317331
Galaxea_fascicularis_REEFv1___m1.18884.m1	1	1	adult_germline_sperm	adult_germline	3.59379686030619
Galaxea_fascicularis_REEFv1___m1.11325.m1	1	1	adult_immune_1	adult_immune	2.27509221180679
Galaxea_fascicularis_REEFv1___m1.3945.m1	1	1	adult_gland_2	adult_gland	2.18493443925208
Galaxea_fascicularis_REEFv1___m1.4605.m1	1	1	adult_germline_sperm	adult_germline	2.95554620962496
Galaxea_fascicularis_REEFv1___m1.14697.m1	1	1	adult_germline_sperm	adult_germline	2.21928157181243
Galaxea_fascicularis_REEFv1___m1.19739.m1	1	1	adult_gland_10	adult_gland	3.45346698977981
Galaxea_fascicularis_REEFv1___m1.16810.m1	2	1	adult_neuron_13	adult_neuron	2.31814584714913
