broad_cell_type	marker_gene_count
adult_cnidocyte	62
adult_gastrodermis	57
adult_alga-hosting	23
adult_mitotic	39
adult_germline	393
adult_digestive	7
adult_epidermis	44
adult_calicoblast	38
adult_neuron	1535
adult_gland	278
adult_unknown	33
adult_immune	98
