new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.14857.m1	1	1	adult_neuron_13	adult_neuron	3.12651024303135	0	0
Galaxea_fascicularis_REEFv1___m1.18369.m1	1	1	adult_cnidocyte	adult_cnidocyte	5.69682797202269	0	0
Galaxea_fascicularis_REEFv1___m1.19261.m1	1	1	adult_neuron_12	adult_neuron	59.0128145958518	0	0
Galaxea_fascicularis_REEFv1___m1.15514.m1	1	1	adult_germline_sperm	adult_germline	2.62025672186673	0	0
Galaxea_fascicularis_REEFv1___m1.4721.m1	1	1	adult_germline_sperm	adult_germline	2.66562405480633	0	0
Galaxea_fascicularis_REEFv1___m1.1035.m1	1	1	adult_neuron_13	adult_neuron	2.86664370670689	0	0
Galaxea_fascicularis_REEFv1___m1.15754.m1	1	1	adult_neuron_13	adult_neuron	12.9899352764466	0	0
Galaxea_fascicularis_REEFv1___m1.13886.m1	1	1	adult_germline_sperm	adult_germline	4.68087316954468	0	0
Galaxea_fascicularis_REEFv1___m1.16255.m1	1	1	adult_germline_sperm	adult_germline	2.82472380471969	0	0
Galaxea_fascicularis_REEFv1___m1.540.m1	1	1	adult_germline_sperm	adult_germline	2.71108631864293	0	0
Galaxea_fascicularis_REEFv1___m1.3757.m1	1	1	adult_germline_sperm	adult_germline	2.89027636373444	0	0
Galaxea_fascicularis_REEFv1___m1.16495.m1	1	1	adult_neuron_13	adult_neuron	2.60796225168558	0	0
Galaxea_fascicularis_REEFv1___m1.13400.m1	1	1	adult_immune_1	adult_immune	3.79191912403597	0	0
Galaxea_fascicularis_REEFv1___m1.7737.m1	1	1	adult_gland_1	adult_gland	16.0732170874311	0	0
Galaxea_fascicularis_REEFv1___m1.1317.m1	1	1	adult_gland_1	adult_gland	7.27953395300798	0	0
Galaxea_fascicularis_REEFv1___m1.1764.m1	1	1	adult_germline_sperm	adult_germline	5.56801879960571	0	0
Galaxea_fascicularis_REEFv1___m1.9377.m1	1	1	adult_calicoblast	adult_calicoblast	3.52433375818469	0	0
Galaxea_fascicularis_REEFv1___m1.18852.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.76422932755465	0	0
Galaxea_fascicularis_REEFv1___m1.17034.m1	1	1	adult_germline_sperm	adult_germline	3.05140485806252	0	0
Galaxea_fascicularis_REEFv1___m1.3079.m1	1	1	adult_neuron_8	adult_neuron	3.6421598992217	0	0
Galaxea_fascicularis_REEFv1___m1.20863.m1	1	1	adult_germline_sperm	adult_germline	7.85812068947018	0	0
Galaxea_fascicularis_REEFv1___m1.6887.m1	1	1	adult_germline_sperm	adult_germline	2.6118415381142	0	0
Galaxea_fascicularis_REEFv1___m1.16777.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.75988993054595	0	0
Galaxea_fascicularis_REEFv1___m1.4012.m1	1	1	adult_germline_sperm	adult_germline	4.33102201319492	0	0
Galaxea_fascicularis_REEFv1___m1.15561.m1	1	1	adult_neuron_10	adult_neuron	2.57900054629196	0	0
Galaxea_fascicularis_REEFv1___m1.705.m1	1	1	adult_germline_sperm	adult_germline	2.9018347458027	0	0
Galaxea_fascicularis_REEFv1___m1.6002.m1	1	1	adult_neuron_6	adult_neuron	6.01024472211102	0	0
