gene	cell_type	FC	Species	Lifestage
Nvec_v1g13439	digestive_filaments	5.76519422610154	Nvec	Adult
Nvec_v1g140371	digestive_filaments	7.17111037134253	Nvec	Adult
Nvec_v1g160634	muscle	78.0201507582596	Nvec	Adult
Nvec_v1g160716	neuron	3.69584636539892	Nvec	Adult
Nvec_v1g162983	gland	3.50148975056505	Nvec	Adult
Nvec_v1g165261	digestive_filaments	6.05719033517593	Nvec	Adult
Nvec_v1g169611	muscle	30.6652024869661	Nvec	Adult
Nvec_v1g175341	gastrodermis	22.7320911465008	Nvec	Adult
Nvec_v1g177823	precursors	2.99906615447148	Nvec	Adult
Nvec_v1g178332	precursors	2.84666442731974	Nvec	Adult
Nvec_v1g184228	muscle	50.038253334979	Nvec	Adult
Nvec_v1g186216	neuron	5.01838377650305	Nvec	Adult
Nvec_v1g197000	muscle	26.7471021837036	Nvec	Adult
Nvec_v1g200103	gastrodermis	8.41796213466508	Nvec	Adult
Nvec_v1g200272	precursors	5.30886261872324	Nvec	Adult
Nvec_v1g203270	gland	4.33060895662365	Nvec	Adult
Nvec_v1g203298	muscle	40.6395438804529	Nvec	Adult
Nvec_v1g203613	gland	3.23076393026757	Nvec	Adult
Nvec_v1g204423	digestive_filaments	5.50383500314467	Nvec	Adult
Nvec_v1g204742	gastrodermis	6.78966663418974	Nvec	Adult
Nvec_v1g206150	precursors	3.39448541897544	Nvec	Adult
Nvec_v1g210012	muscle	58.5992631021551	Nvec	Adult
Nvec_v1g214299	muscle	50.6535166490829	Nvec	Adult
Nvec_v1g228028	cnidocyte	15.6447918429091	Nvec	Adult
Nvec_v1g232014	cnidocyte	23.2308059632051	Nvec	Adult
Nvec_v1g232015	cnidocyte	27.7564417786265	Nvec	Adult
Nvec_v1g233305	muscle	20.5957096361401	Nvec	Adult
Nvec_v1g233307	neuron	6.49103850262291	Nvec	Adult
Nvec_v1g234494	epidermis	8.03003202994112	Nvec	Adult
Nvec_v1g237552	gastrodermis	17.1833553073452	Nvec	Adult
Nvec_v1g237940	gland	3.8170398322729	Nvec	Adult
Nvec_v1g238392	cnidocyte	34.9908075764873	Nvec	Adult
Nvec_v1g240988	gastrodermis	8.56245107395411	Nvec	Adult
Nvec_v1g241202	gland	4.5239148858417	Nvec	Adult
Nvec_v1g241424	epidermis	8.81341502806648	Nvec	Adult
Nvec_v1g241430	epidermis	10.597130511215	Nvec	Adult
Nvec_v1g242253	epidermis	17.4059760293938	Nvec	Adult
Nvec_v1g242265	digestive_filaments	6.49891709809576	Nvec	Adult
Nvec_v1g242530	precursors	3.39231472205057	Nvec	Adult
Nvec_v1g242984	digestive_filaments	15.7641542530885	Nvec	Adult
Nvec_v1g243008	cnidocyte	16.4985171698403	Nvec	Adult
Nvec_v1g243682	gland	4.33381068838196	Nvec	Adult
Nvec_v1g243836	neuron	4.72543591122493	Nvec	Adult
Nvec_v1g245153	epidermis	11.2713211129912	Nvec	Adult
Nvec_v1g245220	digestive_filaments	5.4099019551816	Nvec	Adult
Nvec_v1g245591	epidermis	18.2762433297018	Nvec	Adult
Nvec_v1g247493	digestive_filaments	6.81326707536847	Nvec	Adult
Nvec_v1g39845	gastrodermis	7.24003527265096	Nvec	Adult
