"","gene","cell_type","FC","Species","Lifestage"
"85","Nvec_NVE7724","epidermis",19.6614297224188,"Nvec","Adult"
"86","Nvec_NVE7821","gastrodermis",6.90233536949405,"Nvec","Adult"
"87","Nvec_NVE814","precursors",2.9042906339271,"Nvec","Adult"
"88","Nvec_NVE9976","cnidocyte",36.1057471234944,"Nvec","Adult"
"89","Nvec_mOrange","neuron",3.79288283383465,"Nvec","Adult"
"90","Nvec_orphan_peak_27","neuron",3.76944887814497,"Nvec","Adult"
"91","Nvec_orphan_peak_4633","digestive_filaments",6.37285554516358,"Nvec","Adult"
"92","Nvec_orphan_peak_7489","muscle",35.6285483025619,"Nvec","Adult"
"93","Nvec_v1g114134","gastrodermis",7.57696544308299,"Nvec","Adult"
"94","Nvec_v1g126293","digestive_filaments",20.3159987738964,"Nvec","Adult"
"95","Nvec_v1g129977","neuron",3.72562985575582,"Nvec","Adult"
"96","Nvec_v1g131609","precursors",2.86389671645895,"Nvec","Adult"
"97","Nvec_v1g13439","digestive_filaments",5.76519422610154,"Nvec","Adult"
"98","Nvec_v1g140371","digestive_filaments",7.17111037134253,"Nvec","Adult"
"99","Nvec_v1g160634","muscle",78.0201507582596,"Nvec","Adult"
"100","Nvec_v1g160716","neuron",3.69584636539892,"Nvec","Adult"
"101","Nvec_v1g162983","gland",3.50148975056505,"Nvec","Adult"
"102","Nvec_v1g165261","digestive_filaments",6.05719033517593,"Nvec","Adult"
"103","Nvec_v1g169611","muscle",30.6652024869661,"Nvec","Adult"
"104","Nvec_v1g175341","gastrodermis",22.7320911465008,"Nvec","Adult"
"105","Nvec_v1g177823","precursors",2.99906615447148,"Nvec","Adult"
"106","Nvec_v1g178332","precursors",2.84666442731974,"Nvec","Adult"
"107","Nvec_v1g184228","muscle",50.038253334979,"Nvec","Adult"
"108","Nvec_v1g186216","neuron",5.01838377650305,"Nvec","Adult"
"109","Nvec_v1g197000","muscle",26.7471021837036,"Nvec","Adult"
"110","Nvec_v1g200103","gastrodermis",8.41796213466508,"Nvec","Adult"
"111","Nvec_v1g200272","precursors",5.30886261872324,"Nvec","Adult"
"112","Nvec_v1g203270","gland",4.33060895662365,"Nvec","Adult"
"113","Nvec_v1g203298","muscle",40.6395438804529,"Nvec","Adult"
"114","Nvec_v1g203613","gland",3.23076393026757,"Nvec","Adult"
"115","Nvec_v1g204423","digestive_filaments",5.50383500314467,"Nvec","Adult"
"116","Nvec_v1g204742","gastrodermis",6.78966663418974,"Nvec","Adult"
"117","Nvec_v1g206150","precursors",3.39448541897544,"Nvec","Adult"
"118","Nvec_v1g210012","muscle",58.5992631021551,"Nvec","Adult"
"119","Nvec_v1g214299","muscle",50.6535166490829,"Nvec","Adult"
"120","Nvec_v1g228028","cnidocyte",15.6447918429091,"Nvec","Adult"
"121","Nvec_v1g232014","cnidocyte",23.2308059632051,"Nvec","Adult"
"122","Nvec_v1g232015","cnidocyte",27.7564417786265,"Nvec","Adult"
"123","Nvec_v1g233305","muscle",20.5957096361401,"Nvec","Adult"
"124","Nvec_v1g233307","neuron",6.49103850262291,"Nvec","Adult"
"125","Nvec_v1g234494","epidermis",8.03003202994112,"Nvec","Adult"
"126","Nvec_v1g237552","gastrodermis",17.1833553073452,"Nvec","Adult"
"127","Nvec_v1g237940","gland",3.8170398322729,"Nvec","Adult"
"128","Nvec_v1g238392","cnidocyte",34.9908075764873,"Nvec","Adult"
"129","Nvec_v1g240988","gastrodermis",8.56245107395411,"Nvec","Adult"
"130","Nvec_v1g241202","gland",4.5239148858417,"Nvec","Adult"
"131","Nvec_v1g241424","epidermis",8.81341502806648,"Nvec","Adult"
"132","Nvec_v1g241430","epidermis",10.597130511215,"Nvec","Adult"
"133","Nvec_v1g242253","epidermis",17.4059760293938,"Nvec","Adult"
"134","Nvec_v1g242265","digestive_filaments",6.49891709809576,"Nvec","Adult"
"135","Nvec_v1g242530","precursors",3.39231472205057,"Nvec","Adult"
"136","Nvec_v1g242984","digestive_filaments",15.7641542530885,"Nvec","Adult"
"137","Nvec_v1g243008","cnidocyte",16.4985171698403,"Nvec","Adult"
"138","Nvec_v1g243682","gland",4.33381068838196,"Nvec","Adult"
"139","Nvec_v1g243836","neuron",4.72543591122493,"Nvec","Adult"
"140","Nvec_v1g245153","epidermis",11.2713211129912,"Nvec","Adult"
"141","Nvec_v1g245220","digestive_filaments",5.4099019551816,"Nvec","Adult"
"142","Nvec_v1g245591","epidermis",18.2762433297018,"Nvec","Adult"
"143","Nvec_v1g247493","digestive_filaments",6.81326707536847,"Nvec","Adult"
"144","Nvec_v1g39845","gastrodermis",7.24003527265096,"Nvec","Adult"
"145","Nvec_v1g60683","muscle",23.0310052811597,"Nvec","Adult"
"146","Nvec_v1g84136","gastrodermis",6.62872635208674,"Nvec","Adult"
"147","Nvec_v1g90177","precursors",3.20812802228316,"Nvec","Adult"
"148","Nvec_v1g92170","precursors",3.89451697023692,"Nvec","Adult"
"149","Spis11865_1","unknown",45.4519784010472,"Spis","Adult"
"150","Spis12267_1","unknown",23.2212229999779,"Spis","Adult"
"151","Spis18343_1","cnidocyte",18.0185366260418,"Spis","Adult"
"152","Spis20505_1","immune",8.25903514621646,"Spis","Adult"
"153","Spis_LOC111318983","neuron",6.0192283469851,"Spis","Adult"
"154","Spis_LOC111320741","gland",5.53622237964149,"Spis","Adult"
"155","Spis_LOC111326826","calicoblast",11.6036161562707,"Spis","Adult"
"156","Spis_XP_022779205_1","immune",10.3492115310955,"Spis","Adult"
"157","Spis_XP_022779497_1","mitotic_host_cells",26.3251499220766,"Spis","Adult"
"158","Spis_XP_022779498_1","mitotic_host_cells",7.76881828062507,"Spis","Adult"
"159","Spis_XP_022779499_1","mitotic_host_cells",9.4755114500447,"Spis","Adult"
"160","Spis_XP_022779557_1","alga.hosting_cells",11.126839126373,"Spis","Adult"
"161","Spis_XP_022779566_1","unknown",38.6768832669198,"Spis","Adult"
"162","Spis_XP_022779822_1","digestive_filaments",4.64340732249564,"Spis","Adult"
"163","Spis_XP_022780302_1","neuron",5.73565011288762,"Spis","Adult"
"164","Spis_XP_022780954_1","epidermis",4.94317220902364,"Spis","Adult"
"165","Spis_XP_022781901_1","germline",37.822767429874,"Spis","Adult"
"166","Spis_XP_022782026_1","alga.hosting_cells",10.3309596476882,"Spis","Adult"
"167","Spis_XP_022783192_1","gland",4.6884775926283,"Spis","Adult"
"168","Spis_XP_022783415_1","calicoblast",23.8639613061197,"Spis","Adult"
"169","Spis_XP_022784214_1","neuron",7.03843060881758,"Spis","Adult"
"170","Spis_XP_022784397_1","gastrodermis",4.52433553020606,"Spis","Adult"
"171","Spis_XP_022785263_1","gastrodermis",5.43868944063699,"Spis","Adult"
"172","Spis_XP_022785770_1","germline",20.1284245105186,"Spis","Adult"
"173","Spis_XP_022786096_1","neuron",10.1294184116764,"Spis","Adult"
"174","Spis_XP_022786186_1","epidermis",5.41650097909529,"Spis","Adult"
"175","Spis_XP_022786238_1","epidermis",6.37085007359032,"Spis","Adult"
"176","Spis_XP_022786297_1","neuron",6.23007871288269,"Spis","Adult"
"177","Spis_XP_022786665_1","digestive_filaments",8.58521558586949,"Spis","Adult"
"178","Spis_XP_022786709_1","alga.hosting_cells",23.9280302775277,"Spis","Adult"
"179","Spis_XP_022786917_1","alga.hosting_cells",22.7547750896658,"Spis","Adult"
"180","Spis_XP_022787013_1","mitotic_host_cells",9.83493000897531,"Spis","Adult"
"181","Spis_XP_022787039_1","gastrodermis",5.13288353605198,"Spis","Adult"
"182","Spis_XP_022787225_1","alga.hosting_cells",8.99120764398351,"Spis","Adult"
"183","Spis_XP_022787371_1","cnidocyte",18.9262545261398,"Spis","Adult"
"184","Spis_XP_022787678_1","digestive_filaments",7.12001236193157,"Spis","Adult"
"185","Spis_XP_022788291_1","gland",7.5941594172801,"Spis","Adult"
"186","Spis_XP_022788453_1","calicoblast",9.33328151437342,"Spis","Adult"
"187","Spis_XP_022788474_1","neuron",6.5482440268863,"Spis","Adult"
"188","Spis_XP_022789093_1","alga.hosting_cells",7.828405156619,"Spis","Adult"
"189","Spis_XP_022789489_1","cnidocyte",10.8769804884437,"Spis","Adult"
"190","Spis_XP_022789491_1","cnidocyte",14.8269975240952,"Spis","Adult"
"191","Spis_XP_022789499_1","cnidocyte",25.8243565864249,"Spis","Adult"
"192","Spis_XP_022789688_1","unknown",21.9882738591281,"Spis","Adult"
"193","Spis_XP_022790329_1","gland",7.53920218979711,"Spis","Adult"
"194","Spis_XP_022791001_1","gland",5.49199568826868,"Spis","Adult"
"195","Spis_XP_022791277_1","gland",5.00348360435654,"Spis","Adult"
"196","Spis_XP_022793409_1","mitotic_host_cells",39.0738168234364,"Spis","Adult"
"197","Spis_XP_022793420_1","gastrodermis",5.50589470574477,"Spis","Adult"
"198","Spis_XP_022793606_1","calicoblast",12.5458843177767,"Spis","Adult"
"199","Spis_XP_022793819_1","germline",24.059971831015,"Spis","Adult"
"200","Spis_XP_022793850_1","immune",13.2638648979906,"Spis","Adult"
"201","Spis_XP_022794104_1","cnidocyte",13.5164409090577,"Spis","Adult"
"202","Spis_XP_022794351_1","gastrodermis",5.0390975524945,"Spis","Adult"
"203","Spis_XP_022794354_1","gland",5.20174496683649,"Spis","Adult"
"204","Spis_XP_022794543_1","epidermis",4.9036251385042,"Spis","Adult"
"205","Spis_XP_022795168_1","gland",5.06156211510494,"Spis","Adult"
"206","Spis_XP_022795301_1","digestive_filaments",7.27299222804037,"Spis","Adult"
"207","Spis_XP_022795719_1","cnidocyte",19.8420348167886,"Spis","Adult"
"208","Spis_XP_022795842_1","immune",11.8149184105731,"Spis","Adult"
"209","Spis_XP_022795855_1","immune",9.08833103497409,"Spis","Adult"
"210","Spis_XP_022796495_1","digestive_filaments",4.59667752043637,"Spis","Adult"
"211","Spis_XP_022796708_1","alga.hosting_cells",13.4464663276332,"Spis","Adult"
"212","Spis_XP_022797242_1","digestive_filaments",9.47902870490193,"Spis","Adult"
"213","Spis_XP_022797363_1","neuron",5.86171789337201,"Spis","Adult"
"214","Spis_XP_022797422_1","cnidocyte",43.2336041064694,"Spis","Adult"
"215","Spis_XP_022797425_1","cnidocyte",14.5253136550344,"Spis","Adult"
"216","Spis_XP_022798226_1","germline",21.6375123849936,"Spis","Adult"
"217","Spis_XP_022798424_1","epidermis",11.9939988352354,"Spis","Adult"
"218","Spis_XP_022799082_1","calicoblast",12.1473232351648,"Spis","Adult"
"219","Spis_XP_022799416_1","cnidocyte",15.1940872184973,"Spis","Adult"
"220","Spis_XP_022799427_1","germline",224.927630218631,"Spis","Adult"
"221","Spis_XP_022799527_1","digestive_filaments",5.65334793852869,"Spis","Adult"
"222","Spis_XP_022799529_1","digestive_filaments",4.97589936896396,"Spis","Adult"
"223","Spis_XP_022799949_1","gastrodermis",4.96570514809801,"Spis","Adult"
"224","Spis_XP_022800008_1","neuron",6.62911030295146,"Spis","Adult"
"225","Spis_XP_022801030_1","mitotic_host_cells",10.7741299032875,"Spis","Adult"
"226","Spis_XP_022801045_1","immune",8.95328943619874,"Spis","Adult"
"227","Spis_XP_022801064_1","immune",18.9089206762626,"Spis","Adult"
"228","Spis_XP_022801333_1","calicoblast",13.3524619879698,"Spis","Adult"
"229","Spis_XP_022801475_1","epidermis",5.44952624802134,"Spis","Adult"
"230","Spis_XP_022801783_1","germline",46.0285274370832,"Spis","Adult"
"231","Spis_XP_022802271_1","unknown",22.3037631218194,"Spis","Adult"
"232","Spis_XP_022802936_1","immune",11.1184112428463,"Spis","Adult"
"233","Spis_XP_022802946_1","immune",7.26992674399778,"Spis","Adult"
"234","Spis_XP_022803036_1","gastrodermis",5.62603961933011,"Spis","Adult"
"235","Spis_XP_022803038_1","gastrodermis",5.92758171378445,"Spis","Adult"
"236","Spis_XP_022803401_1","germline",43.874892066537,"Spis","Adult"
"237","Spis_XP_022803774_1","epidermis",4.9527082749307,"Spis","Adult"
"238","Spis_XP_022803870_1","calicoblast",9.28785773262558,"Spis","Adult"
"239","Spis_XP_022804025_1","mitotic_host_cells",7.24892011163605,"Spis","Adult"
"240","Spis_XP_022804844_1","epidermis",4.71916331963996,"Spis","Adult"
"241","Spis_XP_022805023_1","unknown",30.4995056731421,"Spis","Adult"
"242","Spis_XP_022805721_1","gastrodermis",4.81852897973645,"Spis","Adult"
"243","Spis_XP_022806141_1","alga.hosting_cells",8.11949379902333,"Spis","Adult"
"244","Spis_XP_022806608_1","germline",45.4082693917122,"Spis","Adult"
"245","Spis_XP_022806845_1","digestive_filaments",13.5402364469069,"Spis","Adult"
"246","Spis_XP_022810190_1","unknown",20.9208720441317,"Spis","Adult"
"247","orphan_peak_13429","unknown",39.4107088753993,"Spis","Adult"
"248","orphan_peak_13713","calicoblast",10.7126614543219,"Spis","Adult"
"249","orphan_peak_13714","calicoblast",12.925951434334,"Spis","Adult"
"250","orphan_peak_14387","unknown",24.0707798904926,"Spis","Adult"
