Designation	Taxonomic level	Taxonomic group	Orthogroup count
Dark-Restricted	tax_id	37510 (Renilla muelleri)	1770
Dark-Restricted	tax_id	37531 (Craterolophus convolvulus)	1755
Dark-Restricted	tax_id	400682 (Amphimedon queenslandica)	397
Dark-Restricted	tax_id	43186 (Polypodium hydriforme)	1751
Dark-Restricted	tax_id	45264 (Acropora millepora)	51
Dark-Restricted	tax_id	45351 (Nematostella vectensis)	379
Dark-Restricted	tax_id	46686 (Acropora cytherea)	178
Dark-Restricted	tax_id	46704 (Montipora capitata)	1903
Dark-Restricted	tax_id	46714 (Lobactis scutaria)	723
Dark-Restricted	tax_id	46720 (Porites compressa)	1530
Dark-Restricted	tax_id	46731 (Pocillopora damicornis)	759
Dark-Restricted	tax_id	46732 (Pocillopora meandrina)	563
Dark-Restricted	tax_id	46745 (Galaxea fascicularis)	796
Dark-Restricted	tax_id	47982 (Plexaura homomalla)	624
Dark-Restricted	tax_id	48498 (Orbicella faveolata)	117
Dark-Restricted	tax_id	486192 (Ctenactis echinata)	177
Dark-Restricted	tax_id	490831 (Pocillopora effusa)	155
Dark-Restricted	tax_id	497657 (Pachyseris speciosa)	464
Dark-Restricted	tax_id	50429 (Stylophora pistillata)	282
Dark-Restricted	tax_id	51061 (Porites australiensis)	825
Dark-Restricted	tax_id	51062 (Porites lutea)	632
Dark-Restricted	tax_id	51070 (Seriatopora hystrix)	609
Dark-Restricted	tax_id	513064 (Acropora echinata)	183
Dark-Restricted	tax_id	51772 (Corynactis australis)	1791
Dark-Restricted	tax_id	51823 (Amplexidiscus fenestrafer)	530
Dark-Restricted	tax_id	51832 (Ricordea yuma)	953
Dark-Restricted	tax_id	541185 (Rhodactis indosinensis)	1372
Dark-Restricted	tax_id	544493 (Millepora alcicornis)	3493
Dark-Restricted	tax_id	544496 (Millepora complanata)	2645
Dark-Restricted	tax_id	544505 (Millepora squarrosa)	2907
Dark-Restricted	tax_id	55974 (Acropora hyacinthus)	307
Dark-Restricted	tax_id	591990 (Montipora foliosa)	1155
Dark-Restricted	tax_id	59783 (Myxobolus cerebralis)	1241
Dark-Restricted	tax_id	6052 (Ephydatia muelleri)	2285
Dark-Restricted	tax_id	6082 (Hydra viridissima)	990
Dark-Restricted	tax_id	6087 (Hydra vulgaris)	144
Dark-Restricted	tax_id	6088 (Hydra oligactis)	319
Dark-Restricted	tax_id	6096 (Podocoryna carnea)	1987
Dark-Restricted	tax_id	6106 (Actinia equina)	5338
Dark-Restricted	tax_id	6110 (Anthopleura elegantissima)	977
Dark-Restricted	tax_id	6141 (Tripedalia cystophora)	1144
Dark-Restricted	tax_id	6145 (Aurelia aurita)	10574
Dark-Restricted	tax_id	63558 (Montastraea cavernosa)	1748
Dark-Restricted	tax_id	686327 (Morbakka virulenta)	2371
Dark-Restricted	tax_id	70778 (Acropora nasuta)	197
Dark-Restricted	tax_id	70779 (Acropora digitifera)	231
Dark-Restricted	tax_id	70780 (Acropora gemmifera)	152
Dark-Restricted	tax_id	70782 (Acropora florida)	206
Dark-Restricted	tax_id	70783 (Acropora tenuis)	277
Dark-Restricted	tax_id	81824 (Monosiga brevicollis)	1223
Dark-Restricted	tax_id	86540 (Xenia sp.)	1460
Dark-Restricted	tax_id	86597 (Palythoa variabilis)	2543
Dark-Restricted	tax_id	86600 (Discosoma sp.)	589
Dark-Restricted	tax_id	946362 (Salpingoeca rosetta)	1522
Dark-Restricted	tax_id	999287 (Madracis auretenra)	3316
Dark-Shared	clade1	Eumetazoa	19
Dark-Shared	clade	Opisthokonta	22
Dark-Shared	class	Anthozoa	110
Dark-Shared	genus	Acropora	7
Dark-Shared	genus	Haliclystus	8
Dark-Shared	genus	Hydra	51
Dark-Shared	genus	Hydractinia	20
Dark-Shared	genus	Millepora	621
Dark-Shared	genus	Montipora	6
Dark-Shared	genus	Plexaura	4
Dark-Shared	genus	Pocillopora	11
Dark-Shared	genus	Porites	45
Dark-Shared	genus	Trichoplax	10
Dark-Shared	kingdom	Metazoa	24
Dark-Shared	order	Alcyonacea	13
Dark-Shared	order	Anthoathecata	29
Dark-Shared	order	Scleractinia	70
Dark-Shared	order	Stauromedusae	29
Dark-Shared	phylum	Cnidaria	4207
Dark-Shared	species	Aurelia	10
Dark-Shared	species	Calvadosia	12
Dark-Shared	species	Montipora	13
Dark-Shared	subclass	Heteroscleromorpha	48
Dark-Shared	subclass	Hexacorallia	303
Dark-Shared	subclass	Hydroidolina	71
Dark-Shared	subclass	NA	29
Dark-Shared	subclass	Octocorallia	7
Dark-Shared	subfamily	NA	77
Dark-Shared	suborder	Amyostaurida	6
Dark-Shared	suborder	Astrocoeniina	9
Dark-Shared	suborder	Capitata	29
Dark-Shared	suborder	Faviina	17
Dark-Shared	suborder	Filifera	4
Dark-Shared	suborder	Fungiina	4
Dark-Shared	suborder	Holaxonia	4
Dark-Shared	suborder	Myostaurida	1
Dark-Shared	suborder	NA	20
Dark-Shared	tax_id	102202 (Astreopora myriophthalma)	2
Dark-Shared	tax_id	102205 (Platygyra sinensis)	14
Dark-Shared	tax_id	10228 (Trichoplax adhaerens)	21
Dark-Shared	tax_id	104178 (Porites evermanni)	2
Dark-Shared	tax_id	104758 (Porites astreoides)	70
Dark-Shared	tax_id	104759 (Porites lobata)	4
Dark-Shared	tax_id	105609 (Montipora aequituberculata)	2
Dark-Shared	tax_id	1136245 (Platygyra carnosa)	251
