Designation	Taxonomic level	Taxonomic group	Orthogroup count
Light-Shared	tax_id	1964320 (Hoilungia hongkongensis)	42
Light-Shared	tax_id	203993 (Pocillopora verrucosa)	180
Light-Shared	tax_id	204384 (Gorgonia ventalina)	2726
Light-Shared	tax_id	2072708 (Scolanthus callimorphus)	67
Light-Shared	tax_id	246299 (Montipora cactus)	1
Light-Shared	tax_id	252671 (Clytia hemisphaerica)	147
Light-Shared	tax_id	2619190 (Favia_sp_REEFv1)	410
Light-Shared	tax_id	262591 (Porites rus)	24
Light-Shared	tax_id	2635559 (Fungia_spp_REEFv1)	174
Light-Shared	tax_id	264060 (Velella velella)	3162
Light-Shared	tax_id	2643297 (Astreopora_sp_REEFv1)	888
Light-Shared	tax_id	2652724 (Exaiptasia diaphana)	169
Light-Shared	tax_id	269814 (Kudoa iwatai)	10
Light-Shared	tax_id	2789654 (Plexaura kukenthali)	72
Light-Shared	tax_id	27923 (Mnemiopsis leidyi)	124
Light-Shared	tax_id	279588 (Stylissa carteri)	1070
Light-Shared	tax_id	287889 (Trichoplax sp. H2)	12
Light-Shared	tax_id	308606 (Dynamena pumila)	137
Light-Shared	tax_id	316235 (Porpita porpita)	362
Light-Shared	tax_id	317549 (Paramuricea clavata)	911
Light-Shared	tax_id	35630 (Hydractinia echinata)	118
Light-Shared	tax_id	367763 (Acropora acuminata)	1
Light-Shared	tax_id	37510 (Renilla muelleri)	215
Light-Shared	tax_id	37531 (Craterolophus convolvulus)	221
Light-Shared	tax_id	400682 (Amphimedon queenslandica)	157
Light-Shared	tax_id	43186 (Polypodium hydriforme)	254
Light-Shared	tax_id	45264 (Acropora millepora)	8
Light-Shared	tax_id	45351 (Nematostella vectensis)	9
Light-Shared	tax_id	46686 (Acropora cytherea)	2
Light-Shared	tax_id	46704 (Montipora capitata)	121
Light-Shared	tax_id	46714 (Lobactis scutaria)	10
Light-Shared	tax_id	46720 (Porites compressa)	18
Light-Shared	tax_id	46731 (Pocillopora damicornis)	13
Light-Shared	tax_id	46732 (Pocillopora meandrina)	17
Light-Shared	tax_id	46745 (Galaxea fascicularis)	18
Light-Shared	tax_id	47982 (Plexaura homomalla)	23
Light-Shared	tax_id	48498 (Orbicella faveolata)	5
Light-Shared	tax_id	490831 (Pocillopora effusa)	48
Light-Shared	tax_id	497657 (Pachyseris speciosa)	194
Light-Shared	tax_id	50429 (Stylophora pistillata)	59
Light-Shared	tax_id	51061 (Porites australiensis)	6
Light-Shared	tax_id	51062 (Porites lutea)	19
Light-Shared	tax_id	51070 (Seriatopora hystrix)	7
Light-Shared	tax_id	513064 (Acropora echinata)	2
Light-Shared	tax_id	51772 (Corynactis australis)	203
Light-Shared	tax_id	51823 (Amplexidiscus fenestrafer)	48
Light-Shared	tax_id	51832 (Ricordea yuma)	9
Light-Shared	tax_id	541185 (Rhodactis indosinensis)	3
Light-Shared	tax_id	544493 (Millepora alcicornis)	546
Light-Shared	tax_id	544496 (Millepora complanata)	283
Light-Shared	tax_id	544505 (Millepora squarrosa)	331
Light-Shared	tax_id	55974 (Acropora hyacinthus)	11
Light-Shared	tax_id	591990 (Montipora foliosa)	1
Light-Shared	tax_id	59783 (Myxobolus cerebralis)	158
Light-Shared	tax_id	6052 (Ephydatia muelleri)	1226
Light-Shared	tax_id	6082 (Hydra viridissima)	236
Light-Shared	tax_id	6087 (Hydra vulgaris)	176
Light-Shared	tax_id	6088 (Hydra oligactis)	376
Light-Shared	tax_id	6096 (Podocoryna carnea)	2455
Light-Shared	tax_id	6106 (Actinia equina)	224
Light-Shared	tax_id	6110 (Anthopleura elegantissima)	63
Light-Shared	tax_id	6141 (Tripedalia cystophora)	363
Light-Shared	tax_id	6145 (Aurelia aurita)	299
Light-Shared	tax_id	63558 (Montastraea cavernosa)	98
Light-Shared	tax_id	686327 (Morbakka virulenta)	552
Light-Shared	tax_id	70779 (Acropora digitifera)	2
Light-Shared	tax_id	70780 (Acropora gemmifera)	1
Light-Shared	tax_id	70782 (Acropora florida)	2
Light-Shared	tax_id	81824 (Monosiga brevicollis)	152
Light-Shared	tax_id	86540 (Xenia sp.)	232
Light-Shared	tax_id	86597 (Palythoa variabilis)	633
Light-Shared	tax_id	86600 (Discosoma sp.)	33
Light-Shared	tax_id	946362 (Salpingoeca rosetta)	163
Light-Shared	tax_id	999287 (Madracis auretenra)	532
